timestamp,total_vus_all_runners,request_count,avg_duration_ms,p90_duration_ms,p95_duration_ms,req_failed_rate,cache_hit_rate,db_response_avg_ms,db_response_p95_ms
2026-07-14T12:50:52,6,8,15.94,18.47,20.04,0.0000,1.0000,,
2026-07-14T12:50:53,18,36,15.16,20.63,21.74,0.0000,1.0000,,
2026-07-14T12:50:54,37,87,15.68,23.72,25.12,0.0000,1.0000,,
2026-07-14T12:50:55,59,135,15.58,23.11,24.37,0.0000,1.0000,,
2026-07-14T12:50:56,84,169,14.82,21.83,23.68,0.0000,1.0000,,
2026-07-14T12:50:57,113,220,15.84,22.31,24.58,0.0000,1.0000,,
2026-07-14T12:50:58,146,275,14.84,21.84,22.96,0.0000,1.0000,,
2026-07-14T12:50:59,173,360,32.49,21.09,22.98,0.0000,1.0000,1108.08,1615.66
2026-07-14T12:51:00,209,423,22.00,22.19,23.76,0.0000,1.0000,522.40,687.69
2026-07-14T12:51:01,242,450,23.59,21.68,25.16,0.0000,1.0000,574.58,760.22
2026-07-14T12:51:02,273,540,31.97,22.45,26.09,0.0000,1.0000,505.25,754.28
2026-07-14T12:51:03,308,587,36.76,22.32,220.22,0.0000,1.0000,441.68,725.37
2026-07-14T12:51:04,339,659,28.30,22.30,25.17,0.0000,1.0000,378.81,709.85
2026-07-14T12:51:05,373,712,28.99,22.24,28.17,0.0000,1.0000,368.20,756.07
2026-07-14T12:51:06,408,810,28.64,22.06,35.17,0.0000,1.0000,323.99,649.43
2026-07-14T12:51:07,439,830,30.86,23.00,228.88,0.0000,1.0000,302.90,608.46
2026-07-14T12:51:08,473,938,34.21,23.39,244.95,0.0000,1.0000,329.22,733.86
2026-07-14T12:51:09,508,978,33.52,22.84,235.78,0.0000,1.0000,325.70,632.27
2026-07-14T12:51:10,539,1014,33.46,23.70,254.14,0.0000,1.0000,291.60,544.68
2026-07-14T12:51:11,573,1087,29.84,22.86,212.74,0.0000,1.0000,299.34,504.66
2026-07-14T12:51:12,608,1107,32.35,24.83,243.73,0.0000,1.0000,275.58,363.66
2026-07-14T12:51:13,639,1241,30.70,23.89,228.60,0.0000,1.0000,265.37,324.80
2026-07-14T12:51:14,673,1254,36.08,25.92,264.31,0.0000,1.0000,300.73,446.74
2026-07-14T12:51:15,707,1319,36.91,24.30,266.71,0.0000,1.0000,322.23,375.69
2026-07-14T12:51:16,738,1384,33.85,24.56,266.58,0.0000,1.0000,288.75,358.90
